Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate,01/08/12
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT,10/06/11
January,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,14/03/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC,15/02/11
January,Economy,UK,EEA,197.5,BRITISH AIRWAYS,Strategic Director Border,21/03/11
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,29/11/11
January,Economy,UK,UK,88.5,BRITISH AIRWAYS,Policy & Strategy,20/10/11
January,Economy,UK,UK,135.5,BMI,Strategic Director Border,17/05/12
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,10/07/12
January,Economy,UK,UK,223.54,FLYBE BRITISH EUROPEAN,Resource Management Group,12/03/11
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate,26/08/11
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Science & Research Group,18/06/11
January,Economy,UK,UK,171.43,BRITISH AIRWAYS,Strategic Director Border,03/06/11
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group,06/08/12
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group,27/07/12
January,Economy,UK,UK,114.35,BRITISH AIRWAYS,Immigration Group,23/10/11
January,Economy,UK,UK,295.59,BMI,Legal Advisors Branch,06/06/12
February,Economy,UK,UK,168.49,BRITISH AIRWAYS,Immigration Group,17/09/11
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Immigration Group,19/07/11
January,Economy,UK,UK,80,FLYBE BRITISH EUROPEAN,HMIC,24/01/12
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group,07/01/12
January,Business Class,UK,UK,118.5,BRITISH AIRWAYS,Policy & Strategy,19/02/12
January,Economy,UK,UK,102.8,BRITISH AIRWAYS,OSCT,15/02/12
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate,29/08/12
February,Economy,UK,UK,157.62,BRITISH AIRWAYS,Immigration Group,02/03/12
January,Economy,UK,UK,170.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,13/07/12
February,Economy,UK,UK,150.51,FLYBE BRITISH EUROPEAN,Immigration Group,17/04/12
January,Economy,UK,UK,116.01,FLYBE BRITISH EUROPEAN,HMIC,27/05/11
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Criminal & Detention Group,12/08/11
January,Economy,UK,UK,63.85,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate,05/04/11
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate,20/11/11
January,Economy,UK,UK,59,FLYBE BRITISH EUROPEAN,HMIC,24/03/11
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Immigration Group,26/07/12
January,Economy,UK,Non EEA,941.47,VIRGIN ATLANTIC,International Group,01/07/11
February,Business Class,UK,UK,141.55,BRITISH AIRWAYS,Strategic Director Border,24/03/12
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group,26/03/12
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,21/09/11
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group,06/03/12
January,Economy,UK,UK,262.63,BRITISH AIRWAYS,Strategic Director Border,02/09/12
January,Economy,UK,UK,79.35,BRITISH AIRWAYS,Immigration Group,19/08/12
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,26/11/11
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,07/10/11
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,Immigration Group,01/04/11
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group,14/08/12
January,Economy,UK,UK,100.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,14/07/11
January,Economy,UK,UK,94.69,BRITISH AIRWAYS,Immigration Group,17/04/11
March,Economy,UK,Non EEA,245.63,LUFTHANSA GERMAN AIRLINES,Strategic Director Border,17/04/11
January,Economy,UK,UK,61.5,MANX2,Immigration Group,12/05/12
January,Economy,UK,UK,235,AIR SOUTHWEST,HMIC,20/09/12
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,08/06/11
February,Economy,EEA,UK,29.35,EASYJET,SIG,25/10/11
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Criminal & Detention Group,18/01/11
January,Economy,UK,UK,129.8,BRITISH AIRWAYS,Immigration Group,05/11/11
January,Economy,UK,UK,94.1,BMI,Strategic Director Border,06/05/11
February,Economy,UK,UK,98.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,27/03/11
January,Economy,UK,UK,135.62,BRITISH AIRWAYS,Strategic Director Border,13/09/12
February,Economy,UK,UK,41.5,BRITISH AIRWAYS,HROD,17/02/12
February,Economy,UK,Non EEA,531.7,BRITISH AIRWAYS,OSCT,20/07/12
March,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,OSCT,16/03/12
March,Economy,UK,UK,151.91,FLYBE BRITISH EUROPEAN,OSCT,03/02/11
